n_tombo;ano_edicao;classificacao;titulo_livro;autor;volume;assunto
0356/96;1982;831 / B 829a;Antologia Poética;Brecht_ Bertold ;1;Literatura Alemã - Poesia
1718/90;1970;833 / D 829n;Os Negócios do Senhor Júlio César;Brecht_ Bertold ;1;Literatura Alemã  - Romance
706/78;1976;833 / B 829r;Romance dos Três Vinténs;Brecht_ Bertold ;1;Literatura Alemã  - Romance
0629/04;1976;831 / B 829p;Poemas;Brecht_ Bertold ;1;Literatura Alemã – Poesia
581/84;1984; 343.2 / B831p;Pena de morte;Breda_ José;1;Pena de morte
580/84;1980;179 / B 831c;Crueldade;Breda_ José;1;1-Crueldade / 2-Ética-Moral
1811/90;1980;923 / B 835m;Memórias  ;Brejnev_ Leonid;1;Autobiografia
0247/04;1981;370 / B 828e;Estrutura e funcionamento do ensino de 1º e 2º graus: leituras;Brejon_ Moysés;1;Pedagogia
0695/96;1991;947 / B 837L;Leste Europeu: a Revolução Democrática ;Brener_ Jayme ;1;1-Europa Oriental – Política e Governo - 1989 /2-Revoluções – Europa Oriental
0508/12;2008;808.899282 / B 837c;Contador de Histórias de bolso: Brasil;Brenman_ Ilan;1;Literatura Juvenil
0107/8;1997;133.9 / B 838p;Projeção astral: como vivenciar experiências extracorpóreas;Brennam_ J.H.;1;
0302/95;1986;843 / B 844a;Arcano 17;Breton_ André ;1;Literatura Francesa  - Romance
420/82;1974;843 / B 844a;As Amantes de Luis XV e outras Histórias;Breton_ Guy ;1;Literatura Francesa  - História de Amor
715/92;1972;843 / B 844c;As Concubinas de Carlos Magno e Outras Histórias da História da França;Breton_ Guy ;1;Literatura Francesa  - Romance
858/84 – 0288/95;1972;843 / B 844p;As Proezas Eróticas de Henrique IV e Outras Histórias de Amor da História da França;Breton_ Guy ;2;Literatura Francesa  - Romance
607/90 – 0180/05;1972;843 / B 844L;Luís XI: O Rei Libertino e Outras Histórias de Amor da História da França;Breton_ Guy ;2;Literatura Francesa  - Romance
938/84;1969;843 / B 844n;Napoleão e as Mulheres;Breton_ Guy ;1;Literatura Francesa  - Romance
865/84;1959;813 / R 847a;Ânsia de Posse;Brewer_ Gil ;1;Literatura Americana – Romance  
;2009;808.899282 / B 828c;Chocolate com Ketchup;Brezina_ Thomas;1;Literatura Juvenil
0641/12;2000;808.899282 / B 828e;Esses pais são um problema;Brezina_ Thomas;1;Literatura Juvenil
0777/09;1999;808.899282 / B 828b;O Barco do demônio: A turma dos Tigres;Brezina_ Thomas;1;Literatura Juvenil
0182/10;2010;808.899282/ B 828V;Vamos salvar a Baleia;Brezina_ Thomas;1;Literatura Juvenil
26/89 – 27/89;1986;J 028.5 / B 849a;A Aventura do arroz;Brice_ Raphaelle;2;Literatura Infanto Juvenil
338/74;1954;823 / B 851c;O Conquistador do Céu ;Brickhill_ Paul  ;1;Literatura  Inglesa – Romance
0227/19;2001;932.014 / B 853a;O Assassinato de Tutancâmon;Brier_ Bob;1;Tutancâmon_ rei do Egito
0149/23;2000;155.4 / B 854a;A auto-estima do seu filho;Briggs_ Dorothy Corkille;1;Psicologia infantil
0443/04;1990;R 759.981 / B 857s;Samson Flexor: do figurativismo ao abstracionismo;Brill_ Alice;1;
249/81;1964;J 028.5 / B 858m;O Mundo  Submarino;Brindze_ Ruth ;1;Literatura Juvenil
138/93;1965;J 028.5 / B 858n;Navegando Pelos Sete Mares;Brindze_ Ruth ;1;Literatura Juvenil
5401;1958;320 / B 858a;Anatomia  das revoluções;Brinton_ Crane ;1;Política
755/83 – 756/83 – 757/83;1979;913 / B 858r;A Ressurreição das Cidades Mortas;Brion_ Marcel;3;Arqueologia
0077/22;2015;B 869.3 / B 858d;O descompasso Infinito do coração;Briones_ Bianca;1;Literatura Brasileira
0078/22;2014;B 869.3 / B 858b;As batidas perdidas do coração;Briones_ Bianca;1;Literatura Brasileira
10506;1968;R 590.03/ B 585p;Pequeno Dicionário Inglês-Português;Briquet Junior_ Raul ;1;Língua Inglesa-dicionário-português
1403/89 – 437/91;1988;813 / B 859g;Geração Perdida;Briskin_ Jacqueline ;2;Literatura Americana – Romance 
708/92;c. 1987;813 / B 859n;Não Basta Sonhar;Briskin_ Jacqueline ;1;Literatura Americana – Romance 
0043/88 – 386/88;1983;813 / B 859p;Pantera;Briskin_ Jacqueline ;2;Literatura Americana – Romance 
0447/01;1987;813 / B 859t;Tudo e Muito Mais;Briskin_ Jacqueline ;1;Literatura Americana – Romance 
531/91;c. 1985;813 / B 859t;Tudo era Pouco;Briskin_ Jacqueline ;1;Literatura Americana – Romance 
992/89 – 0584/02;1978;940.5 / B 859a;Almirante Canaris: O Príncipe da Espionagem Alemã;Brissaud_ André ;2;1-Guerra  Mundial – 1939-1945  - Serviço Secreto / 2-Canaris_ Wilhelm  _ 1887 – 1945 – Biografia / 3-Espionagem Alemã
768/83;1976;932 / B 859e;O Egito dos faraós;Brissaud_ Jean-Marc ;1;História   
747/83;1975;913 / B 859c;As Civilizações Pré-Históricas;Brissaud_ Jean-Marc ;1;1-Arqueologia/ 2-Pré – História - civilização
743/83;c. 1978;932 / B 859c;A Civilizacão Núbia até a Conquista Árabe;Brissaud_ Jean–Marc ;1;História - Egito
595/75;1945;813 / B 861r;A Rua das Vaidades;Bristw_ Gwen ;1;Literatura Americana – Romance 
1131/80;1979; 869.909 / B 863r;Românticos_ Pré Românticos_ Ultra Românticos;Brito Broca_ José ;1;Escritores Brasileiros
426/78;1975;869.909  / B 862v;A Vida Literária no Brasil -1900;Brito Broca_ José ;1;1-Literatura Brasileira –  História e Crítica /2-Brasil – Vida e Costumes Sociais - 1900
1132/80 – 1133/80;1979;R 869.909 / B 862r;Românticos_ Pré Românticos_ Ultra Românticos;Brito Broca_ José ;2;1-Brasil – Vida Intectual /2-Escritores Brasileiros /3-Literatura Brasileira – Século Dezenove – História e Crítica /4-Romantismo - Brasil
1246/84;s.d.;R 869.909 / B 862v;A Vida Literária no Brasil - 1900;Brito Broca_ José ;1;1-Brasil – Vida e Costumes /2-Brasil – Vida Intectual
039/81;1973;131.34 / B 862n;Neuróticos e desajustados;Brito_ Alcindo ;1;Psicanálise
970/90;1988;362.293 / B 862d;O Desafio das Drogas: Como Vencê-lo;Brito_ Azenildo G. ;1;Drogas
1092/75;1950;981 / B 862m;Memória da Guerra dos Farrapos;Brito_ Francisco de Sá ;1;Brasil – História  - Guerra dos Farrapos
7578;1965;869.93 / B 862c;Caminho de ninguém;Brito_ Lásinha Luis Carlos de Caldas ;1;Literatura Brasileira - Romance
5949;1957;981 / B 862h;Heróis da Sombra;Brito_ Lásinha Luis Carlos de Caldas ;1;Brasil-História
6487;1960;869.93 / B 862m;Margem oposta;Brito_ Lásinha Luis Carlos de Caldas ;1;Literatura Brasileira - Romance
320/76 – 358/76;1974;928 / B 862;Conversa vai_ Conversa Vem;Brito_ Mario da Silva ;2;Biografia
1306/76 – 0004/83;1974;R 869.909 / B 862h;História do Modernismo Brasileiro;Brito_ Mario da Silva ;2;1-Literatura Brasileira –  História e Crítica /2-Modernismo Brasileiro – História do
5700;1964;869.9  /  B 862h;História do Modernismo Brasileiro;Brito_ Mario da Silva ;1;Literatura Brasileira
1145/80 – 1147/80;1979;869.91 / B 862j;Jogral do Frágil e do Efêmero;Brito_ Mario da Silva ;2;Literatura Brasileira - Poesia
352/75;1973;792.02 / B 862m;Manual de administração teatral;Brito_ Moema Renart de ;1;Teatro – manual - administração
565/87;1986;923 / D 417b;Marechal Odylio Denys – uma Vida Inimitável;Britto_ Chermont de ;1;Denys_ Odylio - Vida
1023/89;1980;927 / Sa 235b;Vida Triunfante de Manoel Santiago;Britto_ Chermont de ;1;Santiago_ Manoel _ 1897 - vida
230/85;1980;869.93 / B 862d; Um Dia Depois do Outro;Britto_ Chermont de ;1;Literatura Brasileira - Romance
588/78 – 229/85;1957;928 / W 671b;Amizade e loucuras de Oscar Wilde;Broad_ Lewis ;2;Wild_ Oscar - biografia 
0530/04;1981;869.909 / B 862e;Ensaios da mão canhestra: Cervantes_ Goethe_ Dostoievski_ Alencar_ Coelho Netto_ Pompéia;Broca_ Brito;1;Crítica Literária – História
1236/89;1982;833 / M 863m;A Morte de Virgílio;Broch_ Hermann ;1;Literatura Austríaca
1223/99;1988;501 / B 864e;Einstein_ Gertrude Stein_ Wittgenstein e Frankestein: Reinventando o Universo;Brockman_ John ;1;Ciência - Filosofia
0313/22;2014;813 / B 864q;Querida Sue;Brockmole_ Jessica;1;Literatura Americana - Ficção
638/86;1971;813 / B 868a;Aos Olhos da Noite;Bron_ John L. ;1;Literatura Americana – Romance 
44/78 – 1274/97;1957;J 028.5 / B 869c;Curiosos habitantes do mar;Bronson_ Wilfrid Swancourt;2;Literatura Infanto Juvenil
414/82;1977;823 / B 869p;A Preceptora;Bronte_ Anne ;1;Literatura  Inglesa – Romance
 369/77;1971;823 / B 869j;Jane Eyre;Brontë_ Charlote ;1;Literatura  Inglesa – Romance
42/73;1956;823 / B 869j;Jane Eyre;Brontë_ Charlote ;1;Literatura  Inglesa – Romance
1019/88;1983;823 / B 869p;O Professor;Brontë_ Charlote ;1;Literatura  Inglesa – Romance
914/87;1949;823 / B 869s;Shirley;Brontë_ Charlote ;1;Literatura  Inglesa – Romance
1202 – 311/74;1971;823 / B 869m;O Morro dos Uivantes;Bronte_ Emily ;2;Literatura  Inglesa – Romance
038/81;1959;823 / B 869m;O Morro dos Uivantes;Bronte_ Emily ;1;Literatura  Inglesa – Romance
0518/03;1987;823 / B 869m;O Morro dos Uivantes;Bronte_ Emily ;1;Literatura  Inglesa – Romance
868/87;s.d.;J 028.5/ B 869m;Morro dos Ventos Uivantes;Bronte_ Emily ;1;Literatura Infanto - Juvenil
0170/20;2011;823 / B869m;O Morro dos Ventos Uivantes;Bronte_ Emily ;1;Literatura  Inglesa
0229/17 - 0179/23;2008;A 823 / B 873m;As memórias do livro;Brooks_ Geraldine;2;Ficção Australiana
1021/84;1957;153 / B 874c;Como Desenvolver a Memória;Brothers_ Joyce D.  e Outro;1;1-Memória Desenvolvimento da /2-Memória – Como Desenvolver /3-Psicologia - memória
854/84;1970;R 330 / B 882i;Introdução à História Econômica do Ocidente;Brown_ Alfredo Lisboa ;1;Economia – História Econômica do Ocidente
0501/23;2010;320.532 / B 877a;Ascenção e queda do comunismo;Brown_ Archie;1;Comunismo
5578 – 5579;1961;808.5 / B 877i;Introdução à Eloquência;Brown_ Charles T. ;2;Oratória
0303/15 - 0304/15;2004;813 / B 877a;Anjos e Demônios;Brown_ Dan;2;Literatura americana - Ficção
0128/08;2005;813 / B 877f;Fortaleza Digital;Brown_ Dan;1;Literatura americana - romance
0600/08;2004;813 / B 877c;O Código da Vinci;Brown_ Dan;1;1- Leonardo_ da Vinci_ 1452-1519 /2- Literatura Americana - Ficção
0073/15 - 0188/18;2013;813 / B 877i;Inferno  ;Brown_ Dan;2;Literatura americana - Ficção
439/16;2009;813 / B 877s;O símbolo perdido;Brown_ Dan;1;Literatura americana - Ficção
487/16;2010;813 / B 877p;Ponto de Impacto;Brown_ Dan;1;Literatura americana - Ficção
682/91;c. 1983;813 / B 877h;Homens e Sombras;Brown_ Dee ;1;Literatura Americana – Romance 
441/91;1973;970.1 / B 877e;Enterrem Meu Coração na Curva do Rio: uma História do Oeste Americano;Brown_ Dee Alexander ;1;1-Estados Unidos – Estados do Oeste - História /2-Índios da América do Norte
5257/63;1963;301 / B 878p;Os Próximos cem anos. Os recursos naturais e tecnológicos do homem;Brown_ Harrison e outros;1;Sociologia
0211/22;2014;813 / B878l;A Lista Negra;Brown_ Jennifer;1;Literatura Americana – Romance 
2026/90;1980;301.31 / B 877v;O Vigésimo Nono Dia: a Terra Empobrecer: É Preciso Ajustar-se à Carência e Parar de Crescer;Brown_ Lester Russel ;1;1-Ecologia Humana/ 2-Política Ambiental/ 3-População/ 4-Recursos  naturais
0328/16;2005;813 / B 879i;Inveja;Brown_ Sandra;1;Ficção americana 
662/91;1984;813 / B 882c;A Casa dos Diamantes;Browne_ Gerald A.  ;1;Literatura Americana – Romance 
1934/90 – 0571/97 - 0513/06;c. 1974;813 / B 882h;Harrowhouse_ 11. A Casa dos Diamantes;Browne_ Gerald Austin ;3;Literatura Americana – Romance 
2181/90;1986;823 / B 882c;O Contrabando de Esmeraldas;Browne_ Gerald Austin ;1;Literatura  Inglesa – Romance
0397/96;1987;813 / B 882u;O Último Diamante;Browne_ Gerald Austin ;1;Literatura Americana – Romance  
0120/23;2000;133.9013 / B 882o;O outro lado da vida;Browne_ Sylvia;1;Espiritismo
846/76;1965;843 / B 887a;Angústia para OSS 117;Bruce_ Jean ;1;Literatura Francesa  - Romance
732/92;1982;823 / B 886c;Um Caso para Três Detetives;Bruce_ Leo ;1;Literatura  Inglesa – Romance
06/84;1968;R 371.91 / B 886L;A Leitura oral-facial no horário escolar;Bruce_ Lula  M. ;1;Surdo mudo – Métodos de ensino
979/89;1974;846 / B 888c;Carta aberta aJesus Cristo;Bruckberger_ R. L.;1;Literatura Francesa   
0936/99;1977;869.93 / B 888i;Inferno de Katyn: Katyn inferno;Bruckner_ Michael;1;Literatura Brasileira - Romance
1167/58;1942;920 / K 94e;Eu fui médico de Hitler;Brueger_ Kurt ;1;Hitler _ Adolfo_ 1889-1945- Biografia
6419;1962;R 103 / B 891d;Dicionário de Filosofia;Brugger_ Walter ;1;Filosofia - Dicionário
44/82 – 168/79;1977;R 103 / B 891d;Dicionário de Filosofia;Brugger_ Walter ;2;Filosofia - Dicionário
68/82 – 69/82;1963;R 530 / B 892c;Curso de Física Geral;Bruhat_ G. e Gpudet_ G. ;2;1-Eletricidade /2-Física /3-Mecânica
538/73;s.d.;890 / B 892L;Lasse_ Lanta-o Menino Lapão;Bruijin_ Cor ;1;Literatura Holandesa
0987/98;1993;J 028.5 / B 896j;Juanito o feijão;Bruni_ Ana Rita de Cassia;1;Literatura Infanto Juvenil
608/79;1966;636 / B 896m;Manual da Avicultura;Brunini_ João ;1;Avicultura
0538/97;s.d.;808.3 / B 897s;Santuário no Espaço;Brunner_ John ;1;Ficção Científica
0293/17;2016;981.01 / B 928v;A viagem do descobrimento;Bruno_ Eduardo;1;Brasil - história - Descobrimento 
0327/17;1999;981.02 / B 928c;Capitães do Brasil: a saga dos primeiros colonizadores;Bruno_ Eduardo;1;Brasil e História - Capitanias Hereditárias / Brasil-História - Período Colonial
561/78;1959;910.7 / B 898s;As Selvas e o Pantanal;Bruno_ Ernani Silva – Org.;1;Goiás e Mato Grosso - Viagens
558/78;1959;910.4 / B 898c;Coqueirais e Chapadões;Bruno_ Ernani Silva – Seleção de;1;Sergipe – Bahia - Viagens
563/78;1959;910.51 / B 898o;O Ouro e a Montanha;Bruno_ Ernani Silva – Seleção de;1;Minas Gerais – Viagens
566/78;1959;910.65 / B 898p;O pampa e os cavalheiros;Bruno_ Ernani Silva – Seleção de;1;Viagens
559/78;1959;910.61 / B 898p;O planalto e os cafezais;Bruno_ Ernani Silva – Seleção de;1;São Paulo  - viagens
562/78 – 0170/05;1959;910.3 / B 898c;Os Canaviais e os Mocambos;Bruno_ Ernani Silva – Seleção de;2;Paraíba_ Pernambuco e Alagoas – Viagens
0203/05;1958;910.1 / B 898r;Os Rios e a Floresta: Amazonas e Pará;Bruno_ Ernani Silva ;1;História – Amazonas e Pará
564/78;1959;910.6 / B 898p;Pinheirais e Marinhas;Bruno_ Ernani Silva – Seleção de;1;Paraná e Santa Catarina – Viagens
1215/76;1967;R 301.361 / B 898s;São Paulo;Bruno_ Ernani Silva – Seleção de;1;São Paulo  - viagens
897/84 – 1114/89;1978;195 / B 922s;Sobre o Infinito_ o Universo e os Mundos. Galileu Galilei. A Cidade do Sol;Bruno_ Giordano ;2;1-Filosofia Italiana /2-Filósofos Modernos /3-Galileu Galilei
262/76 – 422/76 – 423/76;1975;869.93 / B 898m;A Metamorfose;Bruno_ Haroldo ;3;Literatura Brasileira - Romance
1404/84;1983;801.95 / B 898p;Uns Poucos Estrangeiros;Bruno_ Haroldo ;1;1-Crítica Literária/ 2-Literatura  - Colombiana /3-Literatura Comparada
0351/87 – 1304/97 – 0944/96 – 0418/03 – 0419/03;1979;808.899282 / B 898m;O Misterioso  Rapto de Flor-do-Sereno: Combate de Zé Grande_ Herói dos  Canaviais do País de Pernambuco_ Contra o Monstro Sazafrás_ de Antiga e Negra Memória  ;Bruno_ Haroldo ;5;Literatura Juvenil
906/84 – 343/92 – 192/90 – 1440/86 –   0906/84 – 1474/86;1975;J 028.5 / B 898v;O Viajante das Nuvens;Bruno_ Haroldo ;6;Literatura Juvenil
0150/05;1977;869.909 / B 898r;Rachel de Queiroz;Bruno_ Haroldo ;1;Queiroz_ Rachel de – Crítica e Interpretação
736/92;1970;181.45 / B 899b;A Busca do Eu Superior;Brunton_ Paul;1;Ioga
 889/83 – 1050/87;1962;133.93 / B 899i;A India Secreta;Brunton_ Paul ;2;Espiritualismo
0716/02;s.d.;133.93 / B 899i;A Índia secreta;Brunton_ Paul ;1;1- Espiritualismo / 2-Filosofia - Ìndia
0075/11 - 0076/11;2011;808.899282 / B 912p;Peggy Sue e os seus fantasmas;Brussolo_ Serge;2;Literatura Juvenil
1035/84;1977;300.72 / B 914d;Dinâmica de Pesquisa em Ciências Sociais;Bruyne_ Paul de  e Outros;1;Pesquisa em Ciências sociais – Metodologia
605/23;2012;808.899282 / B 915g;Garotas da rua Beacon: Piores inimigas;Bryant_ Annie;1;Literatura Juvenil
378/19;2014;808_899_282;Uma canção para Jack;Bryce_ Celia;1;1- Ficção 2- Infanto Juvenil
0937/99;c. 1989;320.5 / B 915g;O Grande Fracasso : o Nascimento e Morte do Comunismo no séc XX;Brzezinski_ Zbigniew ;1;Comunismo
1125/84;1971;R 301.04 / B 915a;América: Laboratório do Mundo;Brzezinski_ Zbigniew ;1;América - História
0089/19;2000;294.3443 D 136c;O Caminho da Tranquilidade;Bstan - Dzin - Reya - Mtsho_ Dalai Lama;1;Meditações Budistas
0411/98;1989;J 028.5 / B 917d;Dicionário Aurélio infantil de língua portuguesa;Buarque de Holanda_ Ferreira_ Aurélio;1;Literatura Infanto Juvenil
427/84;1978;869.92 / B 917o;Ópera do Malandro;Buarque de Holanda_ Francisco ;1;Teatro Brasileiro
71/82 – 72/82 – 73/82 – 74/82;1973;R 469.03/B 917p;Pequeno Dicionário Brasileiro da Língua Portuguesa;Buarque de Hollanda Ferreira_ Aurélio ;4;Dicionário Português
133/78;1974;R 469.03/B 917p;Pequeno Dicionário Brasileiro da Língua Portuguesa;Buarque de Hollanda Ferreira_ Aurélio ;1;Dicionário Português
1087/75 – 780/75;1975;R 469.3 / B 917n;Novo Dicionário da Língua Portuguesa;Buarque de Hollanda Ferreira_ Aurélio ;2;Língua Portuguesa-Dicionários
693/87;1986;R 469.3 / B 917n;Novo Dicionário da Língua Portuguesa;Buarque de Hollanda Ferreira_ Aurélio ;1;Língua Portuguesa-Dicionários
6382;1961;R 469.1 / B 917n;Novo Vocabulário Ortográfico da Língua Portuguesa;Buarque de Hollanda Ferreira_ Aurélio ;1;Língua Portuguesa - Ortografia
4959;1961;R 469 / B 917p;Pequeno Dicionário Brasileiro da Língua Portuguesa;Buarque de Hollanda Ferreira_ Aurélio ;1;Língua Portuguesa - Dicionários
680;1956;869.93  /  B 917m;Dois Mundos: Contos_ Retratos e Quadros;Buarque de Hollanda_ Aurélio ;1;Literatura Brasileira – Contos 
0522/05;1958;869.94 / B 917t;Território Lírico: ensaios;Buarque de Hollanda_ Aurélio ;1;Literatura Brasileira – Ensaios
0133/15 - 0331/22;1995;981 / B 917r;Raízes do Brasil;Buarque de Holanda_ Sérgio;1;Brasil -  Civilização
0775/07;1995;869.93 / B 917b;Benjamim;Buarque_ Chico ;1;Literatura Brasileira - Romance
0194/15;1995;869.93 / B 917b;Benjamim;Buarque_ Chico ;1;Literatura Brasileira - Romance
0018/15 - 0192/19 - 0292/19;2003;869.93 / B 917b;Budapeste;Buarque_ Chico ;3;Literatura Brasileira - Romance
0192/19;2003;B869.3 / B 917b;Budapeste;Buarque_ Chico ;1;Literatura Brasileira - Romance
0652/97 - 0478/08 - 0502/08;1992;869.93 / B 917e;Estorvo;Buarque_ Chico ;3;Literatura Brasileira – Contos 
638/79  – 330/81 – 369/81 – 331/84;1974;869.93  /  B 917f;Fazenda Modelo;Buarque_ Chico ;4;Literatura Brasileira – Contos 
1268/89 – 0505/01 – 0479/03;1975;869.93 / B 917f;Fazenda Modelo: Novela Pecuária;Buarque_ Chico ;3;Literatura Brasileira – Novela
0189/07;1979;869.93 / B 917f;Fazenda Modelo: Novela Pecuária;Buarque_ Chico ;1;Literatura Brasileira - Romance
0198/19;2009;B 869.3 / B 917L;Leite Deramado;Buarque_ Chico ;1;Romance Brasileiro
0199/19;2014;B 869.3 / B 917i;O Irmão Alemão;Buarque_ Chico ;1;Romance Brasileiro
0101/22;1998;B869.2 / B 917g;Gota  D´água;Buarque_ Chico ;1;Literatura Brasileira – Teatro
1252/87 – 971/90;1975;869.92 / B 917g;Gota  D´água;Buarque_ Chico e Paulo Pontes;2;Literatura Brasileira – Teatro
428/84 – 1140/88;1973;869.92 / B 917c;Calabar. O Elogio da Traição;Buarque_ Chico e Ruy Guerra;2;Literatura Brasileira – Teatro
0486/01;1975;869.92 / B 917c;Calabar. O Elogio da Traição;Buarque_ Chico e Ruy Guerra;1;Literatura Brasileira – Teatro
0848/07;1997;869.93 / B 917r;A Ressurreição do General Sanchez;Buarque_ Cristovam;1;Literatura Brasileira - Romance
0192/91;S.D.;J 028.5 / B 917r;Rosinha Chinesa;Buarque_ Mary;1;Literatura Infanto Juvenil
247/79;1971;320.532 / R 617s;O Socialismo utópico;Buber_ Martin ;1;1-Socialismo /2-Marxismo
0212/04;1992;R 510 / B 918m;Matemática: Volume Único;Bucchi_ Paulo;1;Matemática
332/75;s.d.;833 / B 919v;A Vitória de uma Paixão;Bucha_ Karin ;1;Literatura Alemã - Romance
0238/17 - 0239/17;2005;823 / B 918b;Um bom lugar para morrer;Buchan_ James;2;Ricção Inglesa
1395/86;1973;823 / B 947e;Ela Ainda Respira;Buchanam_ Marie ;1;Literatura  Inglesa – Romance
0250/05;1974;823 / B 947e;Ela Ainda Respira;Buchanam_ Marie ;1;Literatura  Inglesa – Romance
0156/19 - 0200/22;2015;920.72 / B 919m;muito mais que cinco minutos;Buchmann_ Kéfera;2;Atrizes - Brasil - Autobiografia - Vlogueiras - Brasil
182/77;1960;573 / B 921h;O Homem Segundo a Ciência – o seu passado_ o seu presente e o seu futuro;Buchner_ Luis ;1;História Natural do Homem
546/80;1964;R 371 / B 921c;Curso de Pedagogia;Buchon_ Consuelo Sanchez ;1;Pedagogia
0657/03;1962;R 371.102 / B 921p;Pedagogia;Buchon_ Consuelo Sanchez ;1;Pedagogia
99/76;1965;814 / B 921f;O Filho da Grande Sociedade;Buchwald_ Art ;1;Literatura Americana - Crônicas
0585/85 – 0686/91 – 0980/96;1974;813 / B 922b;A Boa Terra;Buck_ Pearl S. ;3;Literatura Americana – Romance 
360/91 – 0936/97;1963;813 / B 922e;A Estirpe do Dragão;Buck_ Pearl S. ;2;Literatura Americana – Romance 
105/74 – 478/83;1970;813 / B 922e;A Exilada;Buck_ Pearl S. ;2;Literatura Americana – Romance 
575/75;1965;813 / B 922e;A Exilada;Buck_ Pearl S. ;1;Literatura Americana – Romance 
128/75;1965;813 / B 922p;A Primeira Esposa;Buck_ Pearl S. ;1;Literatura Americana - Contos
1013/88;s.d.;813 / B 922p;A Promessa;Buck_ Pearl S. ;1;Literatura Americana – Romance 
07/82;s.d.;813 / B 922d;Debaixo do Céu;Buck_ Pearl S. ;1;Literatura Americana – Romance 
10399;1960;928 / B 922m;Minha Vida;Buck_ Pearl S. ;1;1-Biografia /2-Buck _Pearl S. – Vida
10355 – 947/75;s.d.;813 / B 922m;Mulher Imperial;Buck_ Pearl S. ;2;Literatura Americana – Romance 
196/80;1972;813 / B 922n;Nunca é Tarde;Buck_ Pearl S. ;1;Literatura Americana – Romance 
9852 – 1011/76 – 0937/97;1964;813 / B 922a;O Amor Acima de Tudo. (Carta de Pequim);Buck_ Pearl S. ;3;Literatura Americana – Romance 
487/77 – 1330/86;1975;813 / B 922a;O Ano Novo;Buck_ Pearl S. ;2;Literatura Americana – Romance 
473/75;1964;813 / B 922c;O Cidadão;Buck_ Pearl S. ;1;Literatura Americana – Romance 
921/75;s.d.;813 / B 922p;O Patriota;Buck_ Pearl S. ;1;Literatura Americana – Romance 
345/75;1955;813 / M 922p;Pavilhão de Mulheres;Buck_ Pearl S. ;1;Literatura Americana – Romance 
0272/74 – 317/75;1957;813 / B 922r;Refúgio Tranquilo;Buck_ Pearl S. ;2;Literatura Americana – Romance 
05/90 – 151/93;s.d.;813 / B 922L;Um Longo Amor;Buck_ Pearl S. ;2;Literatura Americana – Romance 
168/80 – 0938/97;1966;813 / B 922p;Uma Ponte para Passar;Buck_ Pearl S. ;2;Literatura Americana – Romance 
219/73 – 927/75;1962;813 / B 922v;Vento Leste_ Vento Oeste;Buck_ Pearl S. ;2;Literatura Americana – Romance 
737/89;c. 1985;808.3 / B 922g;Guerra no Espaço;Buckholtz_ Eileen e Ruth Click;1;Ficção Científica
0010/20;2011;813 / B 924m;Tropa Nerds: Núcleo de espionagem;Buckley_ Michael;1;Ficçaõ Americana
0217/19;2011;808.899282 / B 924t;Tropa Nerds: Núcleo de espionagem;Buckley_ Michael;1;Literatura Juvenil 
0218/19;2011;808.899282 / B 924t;Tropa Nerds_ 2: mamãe é de morte;Buckley_ Michael;1;Literatura Juvenil
0219/19;2012;808.899282 / B 924t;Tropa Nerds: As líderes de torcidas;Buckley_ Michael;1;Literatura Juvenil
36/80 – 0526/03;c. 1976;813 / B 924r;A Rainha está em Xeque;Buckley_ William F. ;2;Literatura Americana – Romance 
0088/13;2002;294 / B 927;Budha;Buda;1;Budismo
994;1948;947 / B 927e;Esta é minha história;Budenz_ Louis Francis ;1;1-Rússia – Política e Governo - 1917 /2-Comunismo -  Rússia
7383;1965;813 / B 928r;O Regresso;Buechnner_ Frederick ;1;Literatura Americana – Romance 
0690/07;1991;R 469.3 / B 928m;Minidicionário da Língua Portuguesa;Bueno_ Francisco da Silveira;1;Língua Portuguesa - Dicionários
0115/16;2011;R 469.3 / B 928d;Dicionário global escolar da língua portuguesa;Bueno_ Francisco da Silveira;1;Língua Portuguesa - Dicionários
2069/90;1984;332.981 / B 928p;Por Que os Preços Sobem no Brasil: uma Explicação para o Povo                      ;Bueno_ Ricardo ;1;Inflação - Brasil
290/81;1980;869.93 / B 928d;Diário das Máscaras;Bueno_ Ruth ;1;Literatura Brasileira - Diário
766/79 – 161/82;c. 1972;869.93 / B 928e;Encontro Antecipado;Bueno_ Ruth ;2;Literatura Brasileira - Romance
276/81;1980;869.93 / B 928g;O Guichê;Bueno_ Ruth ;1;Literatura Brasileira - Romance
524/88;1972;346.6 / B 928r;Regime Jurídico da Mulher casada;Bueno_ Ruth ;1;1-Mulher  Casada  - Regime da /2-Mulher Casada – Regime Jurídico da
647/84;1972;R 347.6 / B 928r;Regime Jurídico da Mulher casada;Bueno_ Ruth ;1;1-Mulher  Casada  - Regime da /2-Mulher Casada – Regime Jurídico da
0125/93 – 447/76;s.d.;J 028.5 / B 928a;Aventuras do Barão de Münchaunsen;Buerger_ Gottfried August  ;2;Literatura Juvenil
5276;1961;R 370.15 / B 931p;A Professora_ o aluno e seus problemas;Buhler_ Charlotte ;1;Psicologia Pedagógica
0261/16;2005;133.95 / B 931s;O segredo da alma: o uso de experiências fora do corpo para entender a nossa verddeira natureza;Buhlman_ William;1;Projeção astral 
963/89;1984;813 / B 932m;Misto Quente;Bukowski_ Charles ;1;Literatura Americana – Romance 
