n_tombo;ano_edicao;classificacao;titulo_livro;autor;volume;assunto
217/78 – 468/79;1977;398.981 / So 729a;Arte_ Folclore_ Subdesenvolvimento;Souza Barros_ Manoel de ;2;Folclore - Subdesenvolvimento
1257/76;1975;709.81 / So 729m;Um Movimento de Renovação Cultural;Souza Barros_ Manuel de ;1;Arte – Século  XX  - Pernambuco 
1792;1937;398 / So 729m;Os Mitos Africanos no Brasil_ Ciência do Folclore.;Souza Carneiro_ Antônio Joaquim de ;1;1- Folclore - Brasil/ 2-Negros no Brasil
0374/16;2004;109 / S 729i;Iniciação à história da Filosofia: dos pré-socráticos a Nittgenstern;Souza Filho_ Danilo Marcondes;1;Filosofia - História
639/90;1989;133.9 / So 729f;Faces do Caminho;Souza Junior_ Nery Fernandes de;1;Espiritismo
0864/99;1985;923.2 / B 859s;Leonel Brizola;Souza_ Alda ;1;Brizola_ Leonel de Moura - Biografia
1221/97 – 0242/02;1992;J 028.5 / S 729h;Um homem cor de limão;Souza_ Angela Leite de;2;Literatura Infanto Juvenil
 0029/96 – 0346/02;1991;808.899282 / S 729j;Um Jeito de Viver;Souza_ Angela Leite de ;2;Literatura Juvenil
1446/84;1982;869.93 / So 729p;A Pedra do Sino;Souza_ Antônio Lopes de ;1;Literatura Brasileira - Romance
1555/86;1961;R 981.03 / So 729d;Dicionário da Terra e da Gente do Brasil;Souza_ Bernardino José de  ;1;Brasil - Dicionário da Terra e da Gente
101/77;1967;869.95 / So 729f;Famosos Discursos Brasileiros;Souza_ Carlos Aurélio Mota de ;1;Brasil - Discursos
822;1940;915 / So 729i;Impressões do Japão;Souza_ Cláudio de ;1;Japão – Descrições e Viagens
1533/84;1983;309.1 / So 725c;O Calvário das secas;Souza_ Eloy de ;1;Secas – Nordeste- Aspectos Sociais e Econômicos
0815/98;1994;J 028.5 / S 729h;Homem não chora;Souza_ Flávio de;1;Literatura Infanto Juvenil
0288/01 – 0625/02;1994;J 028.5 / So 729h;Homem não chora;Souza_ Flávio de;2;Literatura Infanto Juvenil
0027/87 – 0028/87;s.d.;R 981 / So 725n;Notícias do Brasil;Souza_ Gabriel Soares de ;2;Brasil - História
1906/90;1987;918.1 / So 725t;Tratado Descritivo do Brasil em 1587;Souza_ Gabriel Soares de ;1;1-Brasil – Descrições e Viagem /2-Varnhagen_ FranciscoAdolpho_ visconde de Porto Seguro_ 1816-1878
278/74;1961;R 375  / So 729m;Metodologia das Ciências Naturais;Souza_ Geraldo Sampaio de ;1;1-Educação /2-Programa do curso de formação do Professor primário
916/89;1985;869.91  / So 725p;A Porta do Reino;Souza_ Helando Marques de ;1;Literatura Brasileira - Poesia
0328/01;1996;J 028.5 / S 729c;A Centopéia que pensava;Souza_ Herbert de;1;Literatura Infanto Juvenil
0454/95 – 0455/95;1994;J 028.5 / So 729z;A Zeropéia;Souza_ Herbert de;2;Literatura Infanto Juvenil
0060/01;1998;J 028.5 / So 729m;Miltopéia solidária;Souza_ Herbert de;1;Literatura Infanto Juvenil
184/88;1987;869.93  / So 725m;O Missionário;Souza_ Inglês de ;1;Literatura Brasileira - Romance
0170/92;1988;869.93 / So 725c;Contos Amazônicos;Souza_ Inglês de ;1;Literatura Brasileira – Contos
069/84;S.D.;J 028.5 / So 729p;Pequenos contos para gente pequena;Souza_ Isa Ramos de Azevedo;1;Literatura Infanto Juvenil
059/84;S.D.;J 028.5 / So 729p;Pequenos contos para gente pequena;Souza_ Isa Ramos de Azevedo;1;Literatura Infanto Juvenil
61/84 – 62/84;S.D.;J 028.5 / So 729p;Pequenos contos para gente pequena;Souza_ Isa Ramos de Azevedo;2;Literatura Infanto Juvenil
0008/76;1985;J 028.5 / S 729s;A Sementinha bailarina;Souza_ Isa Ramos de Azevedo;1;Literatura Infanto Juvenil
57/84 – 58/84;S.D.;J 028.5 / So 729p;Pequenos contos para gente pequena;Souza_ Isa Ramos de Azevedo;2;Literatura Infanto Juvenil
63/84 – 64/84;S.D.;J 028.5 / So 729p;Pequenos contos para gente pequena;Souza_ Isa Ramos de Azevedo;2;Literatura Infanto Juvenil
0050/96 – 0001/96;1988;J 028.5 / So 729g;A Gotinha Sapeca;Souza_ Ivone Amâncio Bezerra Carlos;2;Literatura Infanto Juvenil
1991/90;1979;338.981 /So 729n;O Nordeste Brasileiro: Uma Experiência de Desenvolvimento Regional;Souza_ João Gonçalves de ;1;Desenvolvimento Regional – Brasil - Nordeste
0072/96 – 0695/98 – 0694/98 – 0908/98 – 0482/95;1993;J 028.5 / So 729p;Pescador de estrelas;Souza_ Joemil de;5;Literatura Infanto Juvenil
0058/01;1996;J 028.5 / So 729a;Anamaria_ gorda-gordinha;Souza_ Joemil de;1;Literatura Infanto Juvenil
211/76;1975; 981.53 / So 729d;Da Vila Real da Praia Grande à Imperial Cidade de Niterói;Souza_ José Antônio Soares de;1;Brasil - História
1146/87;1981;869.91 / So 725s;Sonetos de São Luiz;Souza_ José Helder de ;1;Poesia Brasileira
0502/95;1986;133.40981/So 729d;O Diabo e a Terra de Santa Cruz.Feitiçaria e Religiosidade Popular no Brasil Colonial;Souza_ Laura de Mello e ;1;1-Demonologia - Brasil /2-Feitiçaria  e Religiosidade Popular no Brasil Colonial /3-Feitiçaria - Brasil /4-Religiosidade
0181/91;1989;R 344.02 / So729L;Legislação previdenciária e normas e cálculos de benefícios;Souza_ Leny Xavier de Brito e ;1;1-Previdência Social - Manual /2-Previdência Social – Leis e Legislação /3-Trabalho – Leis e legislação
1817;1956;398 / So 729c;Contam que...;Souza_ Lincoln de ;1;Folclore - Lendas
914/88 – 0560/97;1976;869.9803/So 725m;Maralto: relato de uma pesca perigosa;Souza_ Luiz Carlos de ;2;Repórteres e reportagens 
0708/12;2000;607.76 / S 729d;O desafio Metropolitano: um estudo sobre a problemática sócio-espacial nas metrópolis brasileiras;Souza_ Marcelo Lopes de;1;Regiões Metropolitanas - Crescimento urbano - Brasil
0345/06 - 0346/06 - 0347/06;2005;920 / S 714 c;Chico Mendes: a Luta de cada um;Souza_ Márcio ;3;1-Mendes_ Chico_ 1944-1988-biografia
095/85;1979;398 / So 729t;Teatro Indígena do Amazonas;Souza_ Márcio ;1;1-Folclore Amazonense/ 2-Teatro Folclórico Brasileiro
917/80 – 502/85;1978;969.93  /  So 729g;Galvez Imperador do Acre;Souza_ Márcio ;2;Literatura Brasileira
1918/90 – 0055/03;1986;869.93 / So 729b;O Brasileiro Voador: Um Romance Mais-Leve- que-o Ar ;Souza_ Márcio ;2;Literatura Brasileira - Romance
313/86;1984;869.93 / So 729c;A Condolência;Souza_ Márcio ;1;Literatura Brasileira - Romance
0226/91 – 0462/91;1983;869.93 / So 729o;A Ordem do Dia: Folhetim Voador Não Identificado;Souza_ Márcio ;2;Literatura Brasileira - Romance
0170/06;1983;869.93 / S725o;A Ordem do Dia: Folhetim Voador Não Identificado;Souza_ Márcio ;1;Literatura Brasileira - Romance
0364/17 - 0365/17;2001;B 869.3 / S 729d;Desordem;Souza_ Márcio ;2;Literatura Brasileira - Romance
991/86;1980;869.93 / So 729m;Mad Maria;Souza_ Márcio ;1;Literatura Brasileira - Romance
238/90;1976;R 329.981 / So 725e;Estado e Partidos Políticos no Brasil (1930 a 1964);Souza_ Maria do Carmo Carvalho Campello de ;1;Partidos Políticos – Brasil
128/89;1986;J 028.5 / So 725m;Mamãe Canguru;Souza_ Maurício de;1;Literatura Infanto Juvenil
0553/07;s.d.;133.9 / S 719p;Projetando Luz: Um Guia de Aprendizado Espiritual;Souza_ Narci;1;Aprendizado Espiritual /2-Teoria espiritualista
471/89 – 547/90 – 067/94 – 0560/03;1986;869.92 / So 725a;A Aurora da Minha Vida;Souza_ Naum Alves de ;4;Literatura Brasileira – Teatro
322/87;1985;301 / So 729d;Dialética do Irracionalismo;Souza_ Nélson Mello e ;1;1-Irracionalismo - Filosofia /2-Pareto_ Vilfredo_ 1848 – 1923
165/83 – 166/83;1979;R 784 / So 729m;Música Folclórica do Médio São Francisco;Souza_ Oswaldo de ;2;Música  Folclórica – Brasil – Rio São Francisco
0003/95 – 0315/81 – 1012/99;1975;R 909 / So 729h;História Geral;Souza_ Oswaldo Rodrigues de;3;História Geral
753/91;1973;R 634.03 / So729t;Terminologia Florestal: Glossário de Termos e Expressões Florestais;Souza_ Paulo Ferreira de ;1;Florestas. Glossário de Termos e Expressões
9/90;1981;331.2 / So 729q;O Que são empregos e salários;Souza_ Paulo Renato ;1;1-Emprego ( Teoria Econômica ) /2-Salários
768/84;1980;R 808.4 / So 729t;Teoria Literária-Ensaios;Souza_ Roberto Acízelo Quella de ;1;Literatura - Ensaios
0739/98 ;1973;J 028.5 / S 729b;Bira e Calunga na Floresta de Cimento;Soveral_ Helio do;1;Literatura Juvenil
987/89 - 0618/07;1988;973 / So 731e;Etnias da América: a História dos Nove Principais Grupos Étnicos – Irlandeses_ Alemães_ Judeus_ Italianos_ Chineses_ Japoneses_ Negros_ Porto Riquenhos e Mexicanos – e suas Variadas Experiências na Adaptação à Sociedade Norte Americana;Sowell_ Thomas ;2;Estados Unidos - História  – Relações Étnicas
943/90;1983;813 / Sp 733r;Rajac: a estória de uma baleia;Spain_ Stanley;1;Literatura Americana 
1125/86;1973;R 291.03 / Sp 734d;Dicionário das Mitologias Européias e Orientais;Spalding_ Tassilo Orpheu ;1;1-Mitologias Européias – Dicionário /2-Mitologias Orientais – Dicionário
373/82;1980;869.93 / Sp 734a;Alectrion_ o Galo;Spalding_ Tassilo Orpheu ;1;Literatura Brasileira - Romance
288/88 – 265/76 – 386/76 – 419/76;1974;R 292.03 / Sp 734d;Deuses e Heróis da Antiguidade Clássica;Spalding_ Tassilo Orpheu ;4;Mitologia Clássica – Dicionários
247/83 - 0259/15;1979;869.93 / Sp 734s;Sete Candelabros de Ouro;Spalding_ Tassilo Orpheu ;1;Literatura Brasileira - Romance
372/83;s.d.;R 390 / Sp 734c;Comparações do falar diário do gaúcho;Spalding_ Walter ;1;Folclore Brasileiro  
1129/88;1963;981 / Sp 734e;A Epopéia Farroupilha;Spalding_ Walter ;1;Brasil – História – Guerra dos Farrapos – 1835-1845
157/87;1982;981 / Sp 734r;A Revolução Farroupilha: História Popular do Grande Decênio_ Seguida das “Efemérides” Principais de 1835-1845_ Fatamente Documentadas;Spalding_ Walter ;1;Brasil – História  - Guerra dos Farrapos - 1835-1845
1006/80 – 1014/88;1984;869.93 / Sp 736m;Meoda Corrente;Sparano_ Amélia ;2;Literatura Brasileira – Contos
0286/95;1989;823 / Sp 736e;Um Eco Muito Distante;Spark_ Muriel ;1;Literatura  Inglesa – Romance
0171/18;2012;813 / S 736e;A Escolha  ;Sparks_ Nicholas;1;Literatura Americana - Ficção
0455/17 - 0029/18;2012;813 / S 736p;À primeira vista;Sparks_ Nicholas;1;Literatura Americana - Ficção
0190/18;2017;813 / S 736p;À primeira vista;Sparks_ Nicholas;1;Literatura Americana - Ficção
0374/13 - 0049/19;2010;813 / Sp 736u;A última música;Sparks_ Nicholas;2;Literatura Americana - Ficção
0049/14 - 0454/17;2010;813 / Sp 736d;Diário de uma paixão;Sparks_ Nicholas;2;Literatura Americana - Ficção
0052/20;2017;813 / S736d;Dois a dois;Sparks_ Nicholas;1;Ficção Americana
0056/19;2016;813 / Sp 736s;No seu olhar;Sparks_ Nicholas;1;Ficção Americana
0057/19;2008;813 / S 736n;Noites de tormenta;Sparks_ Nicholas;1;Ficção Americana
0452/17;2013;813 / S 736g;O Guardião;Sparks_ Nicholas;1;Ficção Americana
0105/19;2014;813 / S 736g;O Guardião;Sparks_ Nicholas;1;Ficção Americana
0043/17 - 0311/17;2012;813 / S 736m;O melhor de mim;Sparks_ Nicholas;2;Ficção Americana
0106/19;2014;813 / S 736m;O melhor de mim;Sparks_ Nicholas;1;Ficção Americana
0078/12 - 0310/17;2006;813 / S 736m;O Milagre;Sparks_ Nicholas;1;Literatura Americana - Ficção
0453/17;2010;813 / S 736m;O Milagre;Sparks_ Nicholas;1;Literatura Americana - Ficção
0541/23;2010;813 / S 736m;O Milagre;Sparks_ Nicholas;1;Literatura Americana - Ficção
0128/20;2014;813 / S736r;O resgaste;Sparks_ Nicholas;1;Literatura Americana
466/16 - 0307/17;2010;813 / S 736q;Querido John;Sparks_ Nicholas;1;Literatura Americana - Ficção
0101/15 - 0046/17;2011;813 / Sp 736h;Um homem de sorte;Sparks_ Nicholas;2;Literatura Americana - Ficção
